Week,Sex,Age,Population,Vaccinated, Vaccinated Percent,Vaccinated Lag14,Vaccinated Lag14 Percent,"SARSCoV-
Incidence","SARSCoV-
2
Incidence
all","SARSCoV-
2
Incidence
share","COVID-
19
Fatality","COVID-
19
Fatality
all","COVID-
19
Fatality
share"
1,f,15-34,445412,1,0,0,0,765,2946,0.26,0,151,0
1,f,35-59,709015,2,0,0,0,1022,2946,0.35,3,151,0.02
1,f,60-79,475567,0,0,0,0,424,2946,0.14,30,151,0.2
1,f,80+,173095,1,0,0,0,579,2946,0.2,118,151,0.78
1,m,15-34,482066,0,0,0,0,728,2373,0.31,0,134,0
1,m,35-59,709197,1,0,0,0,843,2373,0.36,3,134,0.02
1,m,60-79,438976,0,0,0,0,401,2373,0.17,49,134,0.37
1,m,80+,108937,0,0,0,0,252,2373,0.11,82,134,0.61
2,f,15-34,445412,36,0.01,0,0,598,2403,0.25,1,133,0.01
2,f,35-59,709015,156,0.02,0,0,796,2403,0.33,3,133,0.02
2,f,60-79,475567,86,0.02,0,0,358,2403,0.15,14,133,0.11
2,f,80+,173095,233,0.13,0,0,530,2403,0.22,115,133,0.86
2,m,15-34,482066,32,0.01,0,0,617,2078,0.3,0,122,0
2,m,35-59,709197,47,0.01,0,0,718,2078,0.35,6,122,0.05
2,m,60-79,438976,52,0.01,0,0,389,2078,0.19,36,122,0.3
2,m,80+,108937,62,0.06,0,0,221,2078,0.11,80,122,0.66
3,f,15-34,445412,299,0.07,1,0,528,2326,0.23,1,120,0.01
3,f,35-59,709015,925,0.13,2,0,807,2326,0.35,1,120,0.01
3,f,60-79,475567,521,0.11,0,0,380,2326,0.16,23,120,0.19
3,f,80+,173095,1254,0.72,1,0,493,2326,0.21,95,120,0.79
3,m,15-34,482066,165,0.03,0,0,507,1867,0.27,0,87,0
3,m,35-59,709197,305,0.04,1,0,705,1867,0.38,3,87,0.03
3,m,60-79,438976,322,0.07,0,0,329,1867,0.18,26,87,0.3
3,m,80+,108937,377,0.35,0,0,203,1867,0.11,58,87,0.67
4,f,15-34,445412,1757,0.39,36,0.01,413,1719,0.24,0,62,0
4,f,35-59,709015,3969,0.56,156,0.02,613,1719,0.36,2,62,0.03
4,f,60-79,475567,1417,0.3,86,0.02,272,1719,0.16,13,62,0.21
4,f,80+,173095,4390,2.54,233,0.13,302,1719,0.18,47,62,0.76
4,m,15-34,482066,987,0.2,32,0.01,454,1495,0.3,0,52,0
4,m,35-59,709197,1834,0.26,47,0.01,533,1495,0.36,3,52,0.06
4,m,60-79,438976,928,0.21,52,0.01,267,1495,0.18,19,52,0.37
4,m,80+,108937,2771,2.54,62,0.06,128,1495,0.09,30,52,0.58
5,f,15-34,445412,3995,0.9,299,0.07,317,1311,0.24,0,29,0
5,f,35-59,709015,9187,1.3,925,0.13,472,1311,0.36,0,29,0
5,f,60-79,475567,3468,0.73,521,0.11,205,1311,0.16,4,29,0.14
5,f,80+,173095,17089,9.87,1254,0.72,220,1311,0.17,25,29,0.86
5,m,15-34,482066,2239,0.46,165,0.03,374,1223,0.31,0,37,0
5,m,35-59,709197,4049,0.57,305,0.04,447,1223,0.37,0,37,0
5,m,60-79,438976,2206,0.5,322,0.07,204,1223,0.17,13,37,0.35
5,m,80+,108937,11840,10.87,377,0.35,79,1223,0.06,24,37,0.65
6,f,15-34,445412,6879,1.54,1757,0.39,278,1026,0.27,0,24,0
6,f,35-59,709015,16765,2.36,3969,0.56,390,1026,0.38,0,24,0
6,f,60-79,475567,6290,1.32,1417,0.3,163,1026,0.16,8,24,0.33
6,f,80+,173095,32917,19.02,4390,2.54,101,1026,0.1,16,24,0.67
6,m,15-34,482066,3769,0.78,987,0.2,352,1065,0.33,0,24,0
6,m,35-59,709197,6830,0.96,1834,0.26,369,1065,0.35,1,24,0.04
6,m,60-79,438976,3886,0.89,928,0.21,178,1065,0.17,7,24,0.29
6,m,80+,108937,22297,20.47,2771,2.54,70,1065,0.07,16,24,0.67
7,f,15-34,445412,8636,1.94,3995,0.9,336,1089,0.31,0,16,0
7,f,35-59,709015,22172,3.13,9187,1.3,379,1089,0.35,0,16,0
7,f,60-79,475567,8851,1.86,3468,0.73,161,1089,0.15,4,16,0.25
7,f,80+,173095,42493,24.55,17089,9.87,77,1089,0.07,12,16,0.75
7,m,15-34,482066,4648,0.96,2239,0.46,332,1108,0.3,0,14,0
7,m,35-59,709197,8705,1.23,4049,0.57,448,1108,0.4,1,14,0.07
7,m,60-79,438976,5460,1.24,2206,0.5,156,1108,0.14,7,14,0.5
7,m,80+,108937,27677,25.41,11840,10.87,30,1108,0.03,6,14,0.43
8,f,15-34,445412,9443,2.12,6879,1.54,297,1049,0.28,0,20,0
8,f,35-59,709015,24599,3.47,16765,2.36,403,1049,0.38,0,20,0
8,f,60-79,475567,10130,2.13,6290,1.32,149,1049,0.14,5,20,0.25
8,f,80+,173095,45679,26.39,32917,19.02,57,1049,0.05,15,20,0.75
8,m,15-34,482066,5058,1.05,3769,0.78,332,1017,0.33,0,14,0
8,m,35-59,709197,9452,1.33,6830,0.96,367,1017,0.36,2,14,0.14
8,m,60-79,438976,6261,1.43,3886,0.89,137,1017,0.13,7,14,0.5
8,m,80+,108937,28933,26.56,22297,20.47,36,1017,0.04,5,14,0.36
9,f,15-34,445412,9729,2.18,8636,1.94,279,984,0.28,0,12,0
9,f,35-59,709015,25329,3.57,22172,3.13,393,984,0.4,1,12,0.08
9,f,60-79,475567,10488,2.21,8851,1.86,130,984,0.13,5,12,0.42
9,f,80+,173095,46493,26.86,42493,24.55,49,984,0.05,6,12,0.5
9,m,15-34,482066,5199,1.08,4648,0.96,340,1139,0.3,0,18,0
9,m,35-59,709197,9714,1.37,8705,1.23,455,1139,0.4,2,18,0.11
9,m,60-79,438976,6489,1.48,5460,1.24,142,1139,0.12,6,18,0.33
9,m,80+,108937,29244,26.84,27677,25.41,34,1139,0.03,10,18,0.56
10,f,15-34,445412,9980,2.24,9443,2.12,405,1376,0.29,0,28,0
10,f,35-59,709015,25721,3.63,24599,3.47,498,1376,0.36,3,28,0.11
10,f,60-79,475567,10593,2.23,10130,2.13,190,1376,0.14,10,28,0.36
10,f,80+,173095,46861,27.07,45679,26.39,87,1376,0.06,15,28,0.54
10,m,15-34,482066,5311,1.1,5058,1.05,420,1454,0.29,0,22,0
10,m,35-59,709197,9910,1.4,9452,1.33,555,1454,0.38,4,22,0.18
10,m,60-79,438976,6579,1.5,6261,1.43,202,1454,0.14,7,22,0.32
10,m,80+,108937,29480,27.06,28933,26.56,40,1454,0.03,11,22,0.5
11,f,15-34,445412,10331,2.32,9729,2.18,524,1863,0.28,0,17,0
11,f,35-59,709015,26850,3.79,25329,3.57,688,1863,0.37,2,17,0.12
11,f,60-79,475567,10941,2.3,10488,2.21,248,1863,0.13,5,17,0.29
11,f,80+,173095,52449,30.3,46493,26.86,87,1863,0.05,10,17,0.59
11,m,15-34,482066,5439,1.13,5199,1.08,551,1820,0.3,0,29,0
11,m,35-59,709197,10234,1.44,9714,1.37,684,1820,0.38,4,29,0.14
11,m,60-79,438976,6811,1.55,6489,1.48,217,1820,0.12,11,29,0.38
11,m,80+,108937,33699,30.93,29244,26.84,57,1820,0.03,14,29,0.48
12,f,15-34,445412,10503,2.36,9980,2.24,669,2354,0.28,1,23,0.04
12,f,35-59,709015,27472,3.87,25721,3.63,888,2354,0.38,0,23,0
12,f,60-79,475567,11400,2.4,10593,2.23,296,2354,0.13,6,23,0.26
12,f,80+,173095,57724,33.35,46861,27.07,100,2354,0.04,16,23,0.7
12,m,15-34,482066,5513,1.14,5311,1.1,720,2418,0.3,0,28,0
12,m,35-59,709197,10446,1.47,9910,1.4,924,2418,0.38,6,28,0.21
12,m,60-79,438976,7291,1.66,6579,1.5,301,2418,0.12,7,28,0.25
12,m,80+,108937,37519,34.44,29480,27.06,59,2418,0.02,15,28,0.54
13,f,15-34,445412,10642,2.39,10331,2.32,670,2150,0.31,0,31,0
13,f,35-59,709015,27938,3.94,26850,3.79,803,2150,0.37,1,31,0.03
13,f,60-79,475567,11771,2.48,10941,2.3,263,2150,0.12,6,31,0.19
13,f,80+,173095,68853,39.78,52449,30.3,84,2150,0.04,24,31,0.77
13,m,15-34,482066,5599,1.16,5439,1.13,725,2319,0.31,0,27,0
13,m,35-59,709197,10606,1.5,10234,1.44,902,2319,0.39,3,27,0.11
13,m,60-79,438976,7563,1.72,6811,1.55,314,2319,0.14,9,27,0.33
13,m,80+,108937,45770,42.02,33699,30.93,62,2319,0.03,15,27,0.56
14,f,15-34,445412,10964,2.46,10503,2.36,785,2502,0.31,0,22,0
14,f,35-59,709015,28804,4.06,27472,3.87,908,2502,0.36,3,22,0.14
14,f,60-79,475567,12573,2.64,11400,2.4,343,2502,0.14,6,22,0.27
14,f,80+,173095,80729,46.64,57724,33.35,81,2502,0.03,13,22,0.59
14,m,15-34,482066,5753,1.19,5513,1.14,857,2619,0.33,2,38,0.05
14,m,35-59,709197,10926,1.54,10446,1.47,930,2619,0.36,6,38,0.16
14,m,60-79,438976,8138,1.85,7291,1.66,360,2619,0.14,14,38,0.37
14,m,80+,108937,53994,49.56,37519,34.44,53,2619,0.02,16,38,0.42
15,f,15-34,445412,12808,2.88,10642,2.39,927,3073,0.3,1,29,0.03
15,f,35-59,709015,33941,4.79,27938,3.94,1123,3073,0.37,4,29,0.14
15,f,60-79,475567,17866,3.76,11771,2.48,355,3073,0.12,10,29,0.34
